	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
D39	18	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	10	0	0	0
D40	21	1	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	1
E01	5	0	16	0	0	0	0	0	0	0	0	0	29	0	0	0	2	0	11	0	0	1
E02	8	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	7	0	0	0
E03	12	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	13	0	1	4
E04	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0
E05	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0
E06	9	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
E07	12	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	3
E08	7	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0
E09	10	0	23	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	16	0	0	0
E10	8	0	18	0	0	3	1	0	0	0	0	0	0	0	0	0	3	0	19	0	0	2
E11	17	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	22	0	0	0
E12	11	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	24	0	0	0
E13	12	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	27	0	0	1
E14	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	11	0	0	0
E15	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	11	0	0	0
E16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	16	0	0	0
E17	2	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	19	0	0	0
E18	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0
E19	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0
E20	1	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	13	0	0	3
E21	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	11	0	0	1
E22	1	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	17	0	0	1
E23	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
E24	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2
E25	2	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	6	0	0	1
E26	1	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	5	0	0	0
E27	12	0	12	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	16	0	0	4
E28	3	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0
E29	0	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0
E30	1	0	14	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0
E31	9	1	20	0	0	2	2	0	0	0	0	0	0	0	0	0	6	0	11	0	0	19
E32	5	0	14	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	14	0	0	1
E33	5	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	31	0	0	11
E34	2	1	11	0	0	2	0	0	0	0	0	2	7	0	0	0	3	1	38	0	0	9
E35	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	2
E36	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	7
E37	5	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	10	0	0	2
E38	34	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	23	0	0	1
E39	32	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	24	0	0	1
E40	27	0	3	0	0	0	1	0	0	0	0	4	0	0	0	0	2	2	15	0	0	2
F01	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0
F02	0	0	30	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	11	0	0	0
