	Acer_negundo	Acer_rubrum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Carpinus_caroliniana	Carya_alba	Carya_cordiformis	Carya_glabra	Celtis_occidentalis	Cephalanthus_occidentalis	Cercis_canadensis	Cornus_florida	Elaeagnus_angustifolia	Fagus_grandifolia	Fraxinus_americana	Fraxinus_pennsylvanica	Ilex_opaca	Ilex_verticillata	Juglans_nigra	Kalmia_latifolia	Ligustrum_sp	Lindera_benzoin	Liquidambar_styraciflua	Liriodendron_tulipifera	Lonicera_mackii	Nyssa_sylvatica	Paulownia_tomentosa	Pinus_taeda	Platanus_occidentalis	Populus_grandidentata	Prunus_avium	Prunus_serotina	Quercus_alba	Quercus_coccinea	Quercus_falcata	Quercus_michauxii	Quercus_palustris	Quercus_prinus	Quercus_rubra	Quercus_stellata	Quercus_velutina	Rhus_typhina	Rosa_multiflora	Salix_nigra	Sambucus_nigra	Tilia_americana	Ulmus_americana	Ulmus_rubra	Viburnum_acerifolium	Viburnum_dentatum	Viburnum_prunifolium
339	0	0	0	0	0	13	0	0	0	1	0	0	1	0	14	0	0	1	0	0	0	0	3	8	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	5
351	0	1	0	0	0	5	1	0	2	0	0	0	1	0	63	1	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
353	0	0	0	0	0	12	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
355	0	0	0	0	0	9	5	0	0	0	0	0	1	0	28	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
357	0	0	0	0	0	7	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
359	0	0	0	0	0	8	2	0	4	0	0	0	0	0	20	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
371	0	0	0	0	0	14	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
373	0	0	0	0	0	18	7	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
375	0	0	0	0	0	23	6	0	0	0	0	0	5	0	44	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
377	0	0	0	0	0	10	3	0	1	0	0	0	6	0	30	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
379	0	0	0	0	0	6	5	0	0	0	0	0	1	0	32	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
391	0	0	0	0	0	28	6	0	1	0	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
393	0	0	0	0	0	66	2	0	0	0	0	0	7	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
