	Acer_negundo	Acer_rubrum	Acer_saccharum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Bumelia_lanuginosa	Carya_cordiformis	Carya_glabra	Carya_ovata	Carya_texana	Carya_tomentosa	Celtis_occidentalis	Celtis_tenuifolia	Cercis_canadensis	Cornus_drummondii	Cornus_florida	Diospyros_virginiana	Frangula_caroliniana	Fraxinus_americana	Gleditsia_triacanthos	Juglans_nigra	Juniperus_virginiana	Lindera_benzoin	Lonicera_maackii	Ostrya_viriginiana	Platanus_occidentalis	Prunus_americana	Prunus_serotina	Quercus_alba	Quercus_marilandica	Quercus_muehlenbergii	Quercus_rubra	Quercus_stellata	Quercus_velutina	Sassafras_albidum	Tilia_americana	Ulmus_rubra	Viburnum_rufidulum
2299	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	10	0	64	3	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0
2300	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	12	3	40	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0
2301	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	3	24	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0
2302	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	3	0
2303	0	1	0	0	8	0	0	0	0	0	0	1	0	0	0	0	12	1	8	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0
2304	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	1	2	0	0	0
2305	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	1	3	0	0	0
2306	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	0	5	0	0	0	0
2307	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	2	2	0	0	0
2308	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0
2309	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	1	0	0	0
2310	0	6	1	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	6	0	0	3	0	0	0	0	0	0
2311	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0
2312	0	0	0	1	0	29	0	1	1	0	0	1	0	0	0	0	10	0	21	2	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	9	0	3	0
