"sp","trait","values","code","type"
"Pinus_monticola","LWC",-1.31365164688555,NA,"morph"
"Pinus_monticola","SeedMassKEW",0.282259267489036,NA,"morph"
"Pinus_monticola","SLA",-2.76985719461579,NA,"morph"
"Pinus_monticola","WoodDensity",-1.18776036642428,NA,"morph"
"Pinus_taeda","BarkThickness",3.30492349690604,NA,"morph"
"Pinus_taeda","LeafSize",-1.41229187205362,NA,"morph"
"Pinus_taeda","LWC",-0.348595526030152,NA,"morph"
"Pinus_taeda","SeedMassKEW",0.367244455509313,NA,"morph"
"Pinus_taeda","SLA",-2.51548954010603,NA,"morph"
"Pinus_taeda","WoodDensity",-1.40489362738051,NA,"morph"
"Pinus_virginiana","BarkThickness",NA,NA,"morph"
"Pinus_virginiana","LeafSize",NA,NA,"morph"
"Pinus_virginiana","LWC",NA,NA,"morph"
"Pinus_virginiana","SeedMassKEW",-0.0440951800692509,NA,"morph"
"Pinus_virginiana","SLA",NA,NA,"morph"
"Pinus_virginiana","WoodDensity",NA,NA,"morph"
"Platanus_occidentalis","BarkThickness",-0.149646266324792,NA,"morph"
"Platanus_occidentalis","LeafSize",1.09208170297294,NA,"morph"
"Platanus_occidentalis","LWC",-1.00721683627223,NA,"morph"
"Platanus_occidentalis","SeedMassKEW",-1.17415065466801,NA,"morph"
"Platanus_occidentalis","SLA",-0.841860119196044,NA,"morph"
"Platanus_occidentalis","WoodDensity",0.0761621623466616,NA,"morph"
"Populus_grandidentata","BarkThickness",0.147896539808711,NA,"morph"
"Populus_grandidentata","LeafSize",-0.339134528249188,NA,"morph"
"Populus_grandidentata","LWC",-0.542491410162739,NA,"morph"
"Populus_grandidentata","SeedMassKEW",-1.43721169752091,NA,"morph"
"Populus_grandidentata","SLA",-0.260150856599244,NA,"morph"
"Populus_grandidentata","WoodDensity",-0.958637144764896,NA,"morph"
"Prunus_americana","BarkThickness",NA,NA,"morph"
"Prunus_americana","LeafSize",0.0565146048063351,NA,"morph"
"Prunus_americana","LWC",0.543839172460751,NA,"morph"
"Prunus_americana","SeedMassKEW",-0.0570201720010981,NA,"morph"
"Prunus_americana","SLA",0.646364821122383,NA,"morph"
"Prunus_americana","WoodDensity",0.79999444754588,NA,"morph"
"Prunus_avium","BarkThickness",0.7241238052081,NA,"morph"
"Prunus_avium","LeafSize",0.272295510235948,NA,"morph"
"Prunus_avium","LWC",0.358931839248242,NA,"morph"
"Prunus_avium","SeedMassKEW",0.930633219966931,NA,"morph"
"Prunus_avium","SLA",0.50562154529801,NA,"morph"
"Prunus_avium","WoodDensity",-0.965042740209137,NA,"morph"
